,com_qqnn,com_constant,bmb_bra,bmb_ket,bmbs,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
14,"1 4 1 4(1, 4)",-0.5477225575051662,-0.23495589149393853,-0.23495589149393853,0.055204270947711416,-0.0,0.0,-0.0,0.0,-0.16630143457778757,0.33260286915557513,-0.19653805904647642,0.0,-0.0,0.0,-0.0,0.0,-0.0
15,"1 4 2 2(1, 4)",-1.8257418583505538,-0.03783774738314114,-0.03783774738314114,0.0014316951270304044,-0.0,0.0,-0.0,0.0,-0.014376481469987578,0.028752962939975157,-0.01699038719180352,0.0,-0.0,0.0,-0.0,0.0,-0.0
16,"1 6 0 4(1, 6)",-2.5560386016907755,0.1256663483123209,0.1256663483123209,0.01579203109815356,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.30273780814486206,0.6054756162897265,-0.34310284923084333,0.0,-0.0,0.0,-0.0
17,"2 0 3 2(2, 0)",0.0,0.0076459717730147925,0.0076459717730147925,5.846088435373897e-05,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
18,"2 2 1 4(2, 2)",0.7302967433402214,-0.03783774738314117,-0.03783774738314117,0.0014316951270304063,0.0,-0.0,0.008233803023720175,-0.03293521209488064,0.05881287874085855,-0.051755333291955204,0.018689425910983864,-0.0,0.0,-0.0,0.0,-0.0,0.0
19,"2 2 2 2(2, 2)",-0.5477225575051662,0.1615646258503405,0.1615646258503405,0.02610312832616052,-0.0,0.0,-0.11259101861981032,0.4503640744792405,-0.8042215615700757,0.7077149741816624,-0.255563740676712,0.0,-0.0,0.0,-0.0,0.0,-0.0
20,"2 2 3 0(2, 2)",-1.0954451150103324,-0.13505759938127054,-0.13505759938127054,0.01824055515063177,-0.0,0.0,-0.15735452539933467,0.6294181015973376,-1.1239608957095364,0.9890855882243859,-0.35716979574769564,0.0,-0.0,0.0,-0.0,0.0,-0.0
21,"2 4 0 4(2, 4)",-0.5477225575051662,-0.22074803727330589,-0.22074803727330589,0.04872969596001685,-0.0,0.0,-0.0,0.0,-0.47709007234584555,1.9083602893833822,-3.2095150321447896,2.602309485522823,-0.8507550241132286,0.0,-0.0,0.0,-0.0
22,"2 4 1 2(2, 4)",-1.8257418583505538,0.08185556300278149,0.08185556300278149,0.00670033319450233,-0.0,0.0,-0.0,0.0,-0.21866628315851297,0.8746651326340519,-1.4710277230663649,1.1927251808646293,-0.38992938605189714,0.0,-0.0,0.0,-0.0
23,"3 0 2 2(3, 0)",0.0,-0.13505759938127057,-0.13505759938127057,0.018240555150631776,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
24,"3 2 0 4(3, 2)",0.7302967433402214,0.1791341958249223,0.1791341958249223,0.032089060113841605,0.0,-0.0,0.3383361149146897,-2.030016689488136,5.945048876358111,-10.246750908844877,10.681754485163777,-6.283384991272765,1.6184476492672382,-0.0,0.0,-0.0,0.0
25,"3 2 1 2(3, 2)",-0.5477225575051662,0.2348786613585232,0.2348786613585232,0.05516798556157182,-0.0,0.0,-0.43625433020677556,2.617525981240652,-7.6656118022047615,13.21227400054805,-13.773172425099636,8.101866132411493,-2.086844306833277,0.0,-0.0,0.0,-0.0
26,"3 2 2 0(3, 2)",-1.0954451150103324,0.007645971773014806,0.007645971773014806,5.8460884353739184e-05,-0.0,0.0,-0.0009245874645385406,0.00554752478723124,-0.016246322591177195,0.028001791783167206,-0.029190547094716794,0.017170910055715638,-0.0044228101658661785,0.0,-0.0,0.0,-0.0
27,"3 4 0 2(3, 4)",-1.8257418583505538,-0.16142134713833034,-0.16142134713833034,0.026056851311953347,-0.0,0.0,-0.0,0.0,-2.1259221973744133,12.755533184246405,-35.367614738137995,56.43357105757558,-53.83191801883055,28.811449080500598,-6.722671452116818,0.0,-0.0
28,"4 0 1 2(4, 0)",0.0,-0.059764606478757656,-0.059764606478757656,0.0035718081875607617,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
29,"4 2 0 2(4, 2)",-0.5477225575051662,0.06589998901359737,0.06589998901359737,0.004342808551992253,-0.0,0.0,-0.05580545768107884,0.4464436614486293,-1.8176634787551336,4.6557696122499905,-7.988152656634403,9.247761558578707,-6.981721761831924,3.1212403170542644,-0.6302504486359549,0.0,-0.0
30,"4 2 1 0(4, 2)",-1.0954451150103324,-0.04358874558296691,-0.04358874558296691,0.0018999787414966172,-0.0,0.0,-0.048829775470944144,0.39063820376755193,-1.5904555439107473,4.073798410718754,-6.989633574555125,8.091791363756396,-6.1090065416029535,2.731085277422491,-0.5514691425564625,0.0,-0.0
31,"5 0 0 2(5, 0)",0.0,-0.20551882868870774,-0.20551882868870774,0.042237988945578404,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
32,"5 2 0 0(5, 2)",-1.0954451150103324,0.21794372791483355,0.21794372791483355,0.047499468537415,-0.0,0.0,-1.8311165801603946,18.311165801603963,-95.47965025122076,324.36922277126996,-774.0100718995448,1333.401654467262,-1661.5599409845013,1467.9583366145798,-875.4572638083787,317.09475696996583,-52.84912616166072
